Accession;Name
GenProp0001;chorismate biosynthesis via shikimate
GenProp0037;tryptophan biosynthesis from ribose-5-phosphate
GenProp0039;phenylalanine biosynthesis from chorismate
GenProp0045;tyrosine biosynthesis from chorismate
GenProp0109;histidine biosynthesis from ribose-5-phosphate
GenProp0111;proline biosynthesis from glutamate
GenProp0117;arginine biosynthesis from ornithine, carbamoyl-p and aspartate
GenProp0118;ornithine biosynthesis from glutamate, acetylated branch
GenProp0159;threonine biosynthesis from aspartate semialdehyde
GenProp0160;aspartate semialdehyde biosynthesis from aspartate
GenProp0162;isoleucine biosynthesis from threonine and pyruvate
GenProp0163;valine biosynthesis from pyruvate
GenProp0164;leucine biosynthesis from pyruvate and acetyl-CoA
GenProp0199;lysine biosynthesis
GenProp0305;cysteine biosynthesis
