"Name";"EvidenceFor";"Type";"isPresent";"Source";"Label";"Description"
"Exp_GenProp0001";"GenProp0001";"EXPERIMENTATION";"T";"";"Exp_GenProp0001";"chorismate biosynthesis via shikimate"
"Exp_GenProp0037";"GenProp0037";"EXPERIMENTATION";"T";"";"Exp_GenProp0037";"tryptophan biosynthesis from ribose-5-phosphate"
"Exp_GenProp0039";"GenProp0039";"EXPERIMENTATION";"T";"";"Exp_GenProp0039";"phenylalanine biosynthesis from chorismate"
"Exp_GenProp0045";"GenProp0045";"EXPERIMENTATION";"T";"";"Exp_GenProp0045";"tyrosine biosynthesis from chorismate"
"Exp_GenProp0109";"GenProp0109";"EXPERIMENTATION";"T";"";"Exp_GenProp0109";"histidine biosynthesis from ribose-5-phosphate"
"Exp_GenProp0111";"GenProp0111";"EXPERIMENTATION";"T";"";"Exp_GenProp0111";"proline biosynthesis from glutamate"
"Exp_GenProp0117";"GenProp0117";"EXPERIMENTATION";"T";"";"Exp_GenProp0117";"arginine biosynthesis from ornithine, carbamoyl-p and aspartate"
"Exp_GenProp0118";"GenProp0118";"EXPERIMENTATION";"T";"";"Exp_GenProp0118";"ornithine biosynthesis from glutamate, acetylated branch"
"Exp_GenProp0159";"GenProp0159";"EXPERIMENTATION";"T";"";"Exp_GenProp0159";"threonine biosynthesis from aspartate semialdehyde"
"Exp_GenProp0160";"GenProp0160";"EXPERIMENTATION";"T";"";"Exp_GenProp0160";"aspartate semialdehyde biosynthesis from aspartate"
"Exp_GenProp0162";"GenProp0162";"EXPERIMENTATION";"T";"";"Exp_GenProp0162";"isoleucine biosynthesis from threonine and pyruvate"
"Exp_GenProp0163";"GenProp0163";"EXPERIMENTATION";"T";"";"Exp_GenProp0163";"valine biosynthesis from pyruvate"
"Exp_GenProp0164";"GenProp0164";"EXPERIMENTATION";"T";"";"Exp_GenProp0164";"leucine biosynthesis from pyruvate and acetyl-CoA"
"Exp_GenProp0199";"GenProp0199";"EXPERIMENTATION";"T";"";"Exp_GenProp0199";"lysine biosynthesis"
"Exp_GenProp0305";"GenProp0305";"EXPERIMENTATION";"T";"";"Exp_GenProp0305";"cysteine biosynthesis"
