Accession;Name
UPA00031;L-histidine biosynthesis
UPA00035;L-tryptophan biosynthesis
UPA00047;L-isoleucine biosynthesis
UPA00048;L-leucine biosynthesis
UPA00049;L-valine biosynthesis
UPA00050;L-threonine biosynthesis
UPA00068;L-arginine biosynthesis
UPA00098;L-proline biosynthesis
UPA00121;L-phenylalanine biosynthesis
UPA00122;L-tyrosine biosynthesis
UPA00133;L-alanine biosynthesis
UPA00134;L-asparagine biosynthesis
UPA00135;L-serine biosynthesis
UPA00136;L-cysteine biosynthesis
UPA00288;glycine biosynthesis
UPA00404;L-lysine biosynthesis
UPA00633;L-glutamate biosynthesis
UPA00051;L-methionine biosynthesis via de novo pathway
UPA01012;L-aspartate biosynthesis
UPA01013;L-glutamine biosynthesis
